"","Authors","Title","Published.Year","Published.Month","Journal","Volume","Issue","Pages","DOI","Abstract"
"53","Brown, K. A.; Soucy, J. P. R.; Buchan, S. A.; Sturrock, S. L.; Berry, I.; Stall, N. M.; J√ºni, P.; Ghasemi, A.; Gibb, N.; MacFadden, D. R.; Daneman, N.","The mobility gap: estimating mobility thresholds required to control SARS-CoV-2 in Canada",2021,"","CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne",193,"17","E592-E600","10.1503/cmaj.210132","BACKGROUND: Nonpharmaceutical interventions remain the primary means of controlling severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) until vaccination coverage is sufficient to achieve herd immunity. We used anonymized smartphone mobility measures to quantify the mobility level needed to control SARS-CoV-2 (i.e., mobility threshold), and the difference relative to the observed mobility level (i.e., mobility gap). METHODS: We conducted a time-series study of the weekly incidence of SARS-CoV-2 in Canada from Mar. 15, 2020, to Mar. 6, 2021. The outcome was weekly growth rate, defined as the ratio of cases in a given week versus the previous week. We evaluated the effects of average time spent outside the home in the previous 3 weeks using a log-normal regression model, accounting for province, week and mean temperature. We calculated the SARS-CoV-2 mobility threshold and gap. RESULTS: Across the 51-week study period, a total of 888 751 people were infected with SARS-CoV-2. Each 10% increase in the mobility gap was associated with a 25% increase in the SARS-CoV-2 weekly case growth rate (ratio 1.25, 95% confidence interval 1.20-1.29). Compared to the prepandemic baseline mobility of 100%, the mobility threshold was highest in the summer (69%; interquartile range [IQR] 67%-70%), and dropped to 54% in winter 2021 (IQR 52%-55%); a mobility gap was present in Canada from July 2020 until the last week of December 2020. INTERPRETATION: Mobility strongly and consistently predicts weekly case growth, and low levels of mobility are needed to control SARS-CoV-2 through spring 2021. Mobility measures from anonymized smartphone data can be used to guide provincial and regional loosening and tightening of physical distancing measures."
"54","Abouk, R.; Heydari, B.","The Immediate Effect of COVID-19 Policies on Social-Distancing Behavior in the United States",2021,"Mar-Apr","Public Health Rep",136,"2","245-252","10.1177/0033354920976575","OBJECTIVE: Although anecdotal evidence indicates the effectiveness of coronavirus disease 2019 (COVID-19) social-distancing policies, their effectiveness in relation to what is driven by public awareness and voluntary actions needs to be determined. We evaluated the effectiveness of the 6 most common social-distancing policies in the United States (statewide stay-at-home orders, limited stay-at-home orders, nonessential business closures, bans on large gatherings, school closure mandates, and limits on restaurants and bars) during the early stage of the pandemic. METHODS: We applied difference-in-differences and event-study methodologies to evaluate the effect of the 6 social-distancing policies on Google-released aggregated, anonymized daily location data on movement trends over time by state for all 50 states and the District of Columbia in 6 location categories: retail and recreation, grocery stores and pharmacies, parks, transit stations, workplaces, and residences. We compared the outcome of interest in states that adopted COVID-19-related policies with states that did not adopt such policies, before and after these policies took effect during February 15-April 25, 2020. RESULTS: Statewide stay-at-home orders had the strongest effect on reducing out-of-home mobility and increased the time people spent at home by an estimated 2.5 percentage points (15.2%) from before to after policies took effect. Limits on restaurants and bars ranked second and resulted in an increase in presence at home by an estimated 1.4 percentage points (8.5%). The other 4 policies did not significantly reduce mobility. CONCLUSION: Statewide stay-at-home orders and limits on bars and restaurants were most closely linked to reduced mobility in the early stages of the COVID-19 pandemic, whereas the potential benefits of other such policies may have already been reaped from voluntary social distancing. Further research is needed to understand how the effect of social-distancing policies changes as voluntary social distancing wanes during later stages of a pandemic."
"55","Wang, H. Y.; Yamamoto, N.","Using a partial differential equation with Google Mobility data to predict COVID-19 in Arizona",2020,"13-Jul","Math Biosci Eng",17,"5","4891-4904","10.3934/mbe.2020266","The outbreak of COVID-19 disrupts the life of many people in the world. The state of Arizona in the U.S. emerges as one of the country's newest COVID-19 hot spots. Accurate forecasting for COVID-19 cases will help governments to implement necessary measures and convince more people to take personal precautions to combat the virus. It is difficult to accurately predict the COVID- 19 cases due to many human factors involved. This paper aims to provide a forecasting model for COVID-19 cases with the help of human activity data from the Google Community Mobility Reports. To achieve this goal, a specific partial differential equation (PDE) is developed and validated with the COVID-19 data from the New York Times at the county level in the state of Arizona in the U.S. The proposed model describes the combined effects of transboundary spread among county clusters in Arizona and human activities on the transmission of COVID-19. The results show that the prediction accuracy of this model is well acceptable (above 94%). Furthermore, we study the effectiveness of personal precautions such as wearing face masks and practicing social distancing on COVID-19 cases at the local level. The localized analytical results can be used to help to slow the spread of COVID- 19 in Arizona. To the best of our knowledge, this work is the first attempt to apply PDE models on COVID-19 prediction with the Google Community Mobility Reports."
"56","Delen, D.; Eryarsoy, E.; Davazdahemami, B.","No Place Like Home: Cross-National Data Analysis of the Efficacy of Social Distancing During the COVID-19 Pandemic",2020,"28-May","JMIR Public Health Surveill",6,"2","e19862","10.2196/19862","BACKGROUND: In the absence of a cure in the time of a pandemic, social distancing measures seem to be the most effective intervention to slow the spread of disease. Various simulation-based studies have been conducted to investigate the effectiveness of these measures. While those studies unanimously confirm the mitigating effect of social distancing on disease spread, the reported effectiveness varies from 10% to more than 90% reduction in the number of infections. This level of uncertainty is mostly due to the complex dynamics of epidemics and their time-variant parameters. However, real transactional data can reduce uncertainty and provide a less noisy picture of the effectiveness of social distancing. OBJECTIVE: The aim of this paper was to integrate multiple transactional data sets (GPS mobility data from Google and Apple as well as disease statistics from the European Centre for Disease Prevention and Control) to study the role of social distancing policies in 26 countries and analyze the transmission rate of the coronavirus disease (COVID-19) pandemic over the course of 5 weeks. METHODS: Relying on the susceptible-infected-recovered (SIR) model and official COVID-19 reports, we first calculated the weekly transmission rate (Œ≤) of COVID-19 in 26 countries for 5 consecutive weeks. Then, we integrated these data with the Google and Apple mobility data sets for the same time frame and used a machine learning approach to investigate the relationship between the mobility factors and Œ≤ values. RESULTS: Gradient boosted trees regression analysis showed that changes in mobility patterns resulting from social distancing policies explain approximately 47% of the variation in the disease transmission rates. CONCLUSIONS: Consistent with simulation-based studies, real cross-national transactional data confirms the effectiveness of social distancing interventions in slowing the spread of COVID-19. In addition to providing less noisy and more generalizable support for the idea of social distancing, we provide specific insights for public health policy makers regarding locations that should be given higher priority for enforcing social distancing measures."
"57","Zhang, X.; Luo, W.; Zhu, J.","Top-Down and Bottom-Up Lockdown: Evidence from COVID-19 Prevention and Control in China",2021,"5-Jan","J Chin Polit Sci",NA,"","23-Jan","10.1007/s11366-020-09711-6","Utilizing national migration data regarding the outbreak of the novel coronavirus (2019-nCoV), this paper employs a difference-in-differences approach to empirically analyze the relationship between human mobility and the transmission of infectious diseases in China. We show that national human mobility restrictions ascribed to the first-level public health emergency response policy effectively reduce both intercity and intracity migration intensities, thus leading to a declining scale of human mobility, which improves the¬†effectiveness in controlling the epidemic. Human mobility restrictions have greater influences on cities with better economic development, denser populations, or¬†larger passenger volumes. Moreover, mobility restriction measures are found to¬†be better implemented in regions with increased public awareness, or with provincial leaders who have healthcare crisis management experience, local administrative experience, or the opportunity to serve a consecutive term."
"58","Quilty, B. J.; Diamond, C.; Liu, Y.; Gibbs, H.; Russell, T. W.; Jarvis, C. I.; Prem, K.; Pearson, C. A. B.; Clifford, S.; Flasche, S.; Emery, J. C.; Auzenbergs, M.; Davies, N.; Nightingale, E. S.; Van Zandvoort, K.; Jombart, T.; Deol, A. K.; Edmunds, W. J.; Hellewell, J.; Funk, S.; Abbott, S.; Sun, F.; Endo, A.; Rosello, A.; Gimma, A.; Procter, S. R.; Bosse, N. I.; O'Reilly, K.; Medley, G.; Munday, J. D.; Houben, R. M. G. J.; Kucharski, A. J.; Knight, G. M.; Klepac, P.; Eggo, R. M.; Jit, M.","The effect of travel restrictions on the geographical spread of COVID-19 between large cities in China: A modelling study",2020,"","BMC Medicine",18,"1","","10.1186/s12916-020-01712-9","Background: To contain the spread of COVID-19, a cordon sanitaire was put in place in Wuhan prior to the Lunar New Year, on 23 January 2020. We assess the efficacy of the cordon sanitaire to delay the introduction and onset of local transmission of COVID-19 in other major cities in mainland China. Methods: We estimated the number of infected travellers from Wuhan to other major cities in mainland China from November 2019 to February 2020 using previously estimated COVID-19 prevalence in Wuhan and publicly available mobility data. We focused on Beijing, Chongqing, Hangzhou, and Shenzhen as four representative major cities to identify the potential independent contribution of the cordon sanitaire and holiday travel. To do this, we simulated outbreaks generated by infected arrivals in these destination cities using stochastic branching processes. We also modelled the effect of the cordon sanitaire in combination with reduced transmissibility scenarios to simulate the effect of local non-pharmaceutical interventions. Results: We find that in the four cities, given the potentially high prevalence of COVID-19 in Wuhan between December 2019 and early January 2020, local transmission may have been seeded as early as 1-8 January 2020. By the time the cordon sanitaire was imposed, infections were likely in the thousands. The cordon sanitaire alone did not substantially affect the epidemic progression in these cities, although it may have had some effect in smaller cities. Reduced transmissibility resulted in a notable decrease in the incidence of infection in the four studied cities. Conclusions: Our results indicate that sustained transmission was likely occurring several weeks prior to the implementation of the cordon sanitaire in four major cities of mainland China and that the observed decrease in incidence was likely attributable to other non-pharmaceutical, transmission-reducing interventions."
"59","Abedi, V.; Olulana, O.; Avula, V.; Chaudhary, D.; Khan, A.; Shahjouei, S.; Li, J.; Zand, R.","Racial, Economic, and Health Inequality and COVID-19 Infection in the United States",2021,"Jun","J Racial Ethn Health Disparities",8,"3","732-742","10.1007/s40615-020-00833-4","OBJECTIVES: There is preliminary evidence of racial and social economic disparities in the population infected by and dying from COVID-19. The goal of this study is to report the associations of COVID-19 with respect to race, health, and economic inequality in the United States. METHODS: We performed an ecological study of the associations between infection and mortality rate of COVID-19 and demographic, socioeconomic, and mobility variables from 369 counties (total population, 102,178,117 [median, 73,447; IQR, 30,761-256,098]) from the seven most affected states (Michigan, New York, New Jersey, Pennsylvania, California, Louisiana, Massachusetts). RESULTS: The risk factors for infection and mortality are different. Our analysis shows that counties with more diverse demographics, higher population, education, income levels, and lower disability rates were at a higher risk of COVID-19 infection. However, counties with higher proportion with disability and poverty rates had a higher death rate. African Americans were more vulnerable to COVID-19 than other ethnic groups (1981 African American infected cases versus 658 Whites per million). Data on mobility changes corroborate the impact of social distancing. CONCLUSION: Our study provides evidence of racial, economic, and health inequality in the population infected by and dying from COVID-19. These observations might be due to the workforce of essential services, poverty, and access to care. Counties in more urban areas are probably better equipped at providing care. The lower rate of infection, but a higher death rate in counties with higher poverty and disability could be due to lower levels of mobility, but a higher rate of comorbidities and health care access."
"60","Gopalan, A.; Tyagi, H.","How Reliable are Test Numbers for Revealing the COVID-19 Ground Truth and Applying Interventions?",2020,"23-Oct","J Indian Inst Sci",NA,"","22-Jan","10.1007/s41745-020-00210-4","The number of confirmed cases of COVID-19 is often used as a proxy for the actual number of ground truth COVID-19-infected cases in both public discourse and policy making. However, the number of confirmed cases depends on the testing policy, and it is important to understand how the number of positive cases obtained using different testing policies reveals the unknown ground truth. We develop an agent-based simulation framework in Python that can simulate various testing policies as well as interventions such as lockdown based on them. The interaction between the agents can take into account various communities and mobility patterns. A distinguishing feature of our framework is the presence of another 'flu'-like illness with symptoms similar to COVID-19, that allows us to model the noise in selecting the pool of patients to be tested. We instantiate our model for the city of Bengaluru in India, using census data to distribute agents geographically, and traffic flow mobility data to model long-distance interactions and mixing. We use the simulation framework to compare the performance of three testing policies: Random Symptomatic Testing (RST), Contact Tracing (CT), and a new Location-Based Testing policy (LBT). We observe that if a sufficient fraction of symptomatic patients come out for testing, then RST can capture the ground truth quite closely even with very few daily tests. However, CT consistently captures more positive cases. Interestingly, our new LBT, which is operationally less intensive than CT, gives performance that is comparable with CT. In another direction, we compare the efficacy of these three testing policies in enabling lockdown, and observe that CT flattens the ground truth curve maximally, followed closely by LBT, and significantly better than RST."
"61","Lawal, O.; Nwegbu, C.","Movement and risk perception: evidence from spatial analysis of mobile phone-based mobility during the COVID-19 lockdown, Nigeria",2020,"2-Nov","GeoJournal",NA,"","16-Jan","10.1007/s10708-020-10331-z","The emergence of COVID-19 across the globe prompted many countries to institute total lockdown or other models of mobility restrictions to mitigate the spread of the disease. On March 29th, Nigeria instituted a nationwide lockdown. It is pertinent to understand the pattern created by this lockdown. This could offer insights into how people perceive the hazard and the level of compliance across the States in Nigeria. Mobile phone-based mobility data and the number of new cases from the beginning to the end of the lockdown were utilised. The study examines space-time trends across different place categories at the state level. Place categories witnessed mobility reduction as high as 56%, 57%, 65%, 75%, 38% for retail and recreation (RtRc), Grocery and Pharmacy (GrPh), Park, and Transport Hubs (Trst) respectively. Most States recorded mobility uptrend towards workplace, retail and recreational areas. Multiple correspondence analysis (MCA) identified two dimensions from the Space-time trends. The first dimension (D1) accounted for 66% of the variance. Examination of the Object Scores from the MCA showed that there are two classes-two risk perception groups. The pattern of mobility recorded shows that there is a variation in mobility restriction compliance across the States. The trend groupings identified captured an aspect of risk perception within each State. Thus, pointing to difference in levels of risk acceptance. With the level of misinformation currently being experienced worldwide, concerted efforts should be made on improving risk perception to prevent the re-emergence of the disease."
"62","Savini, L.; Candeloro, L.; Calistri, P.; Conte, A.","A Municipality-Based Approach Using Commuting Census Data to Characterize the Vulnerability to Influenza-Like Epidemic: The COVID-19 Application in Italy",2020,"16-Jun","Microorganisms",8,"6","","10.3390/microorganisms8060911","In February 2020, Italy became the epicenter for COVID-19 in Europe, and at the beginning of March, the Italian Government put in place emergency measures to restrict population movement. Aim of our analysis is to provide a better understanding of the epidemiological context of COVID-19 in Italy, using commuting data at a high spatial resolution, characterizing the territory in terms of vulnerability. We used a Susceptible-Infectious stochastic model and we estimated a municipality-specific infection contact rate () to capture the susceptibility to the disease. We identified in Lombardy, Veneto and Emilia Romagna regions (52% of all Italian cases) significant clusters of high , due to the simultaneous presence of connections between municipalities and high population density. Local simulated spreading in regions, with different levels of infection observed, showed different disease geographical patterns due to different values and commuting systems. In addition, we produced a vulnerability map (in the Abruzzi region as an example) by simulating the epidemic considering each municipality as a seed. The result shows the highest vulnerability values in areas with commercial hubs, close to the highest populated cities and the most industrial area. Our results highlight how human mobility can affect the epidemic, identifying particular situations in which the health authorities can promptly intervene to control the disease spread."
"63","Shao, W.; Xie, J.; Zhu, Y.","Mediation by human mobility of the association between temperature and COVID-19 transmission rate",2021,"Mar","Environ Res",194,"","110608","10.1016/j.envres.2020.110608","The coronavirus disease 2019 (COVID-19) pandemic is a major threat to global health. Relevant studies have shown that ambient temperature may influence the spread of novel coronavirus. However, the effect of ambient temperature on COVID-19 remains controversial. Human mobility is also closely related to the pandemic of COVID-19, which could be affected by temperature at the same time. The purpose of this study is to explore the underlying mechanism of the association of temperature with COVID-19 transmission rate by linking human mobility. The effective reproductive number, meteorological conditions and human mobility data in 47 countries are collected. Panel data models with fixed effects are used to analyze the association of ambient temperature with COVID-19 transmission rate, and the mediation by human mobility. Our results show that there is a negative relationship between temperature and COVID-19 transmission rate. We also observe that temperature is positively associated with human mobility and human mobility is positively related to COVID-19 transmission rate. Thus, the suppression effect (also known as the inconsistent mediation effect) of human mobility is confirmed, which remains robust when different lag structures are used. These findings provide evidence that temperature can influence the spread of COVID-19 by affecting human mobility. Therefore, although temperature is negatively related to COVID-19 transmission rate, governments and the public should pay more attention to control measures since people are more likely to go out when temperature rising. Our results could partially explain the reason why COVID-19 is not prevented by warm weather in some countries."
"64","Aleta, A.; Hu, Q.; Ye, J.; Ji, P.; Moreno, Y.","A data-driven assessment of early travel restrictions related to the spreading of the novel COVID-19 within mainland China",2020,"Oct","Chaos Solitons Fractals",139,"","110068","10.1016/j.chaos.2020.110068","Two months after it was firstly reported, the novel coronavirus disease COVID-19 spread worldwide. However, the vast majority of reported infections until February occurred in China. To assess the effect of early travel restrictions adopted by the health authorities in China, we have implemented an epidemic metapopulation model that is fed with mobility data corresponding to 2019 and 2020. This allows to compare two radically different scenarios, one with no travel restrictions and another in which mobility is reduced by a travel ban. Our findings indicate that i) travel restrictions might be an effective measure in the short term, however, ii) they are ineffective when it comes to completely eliminate the disease. The latter is due to the impossibility of removing the risk of seeding the disease to other regions. Furthermore, our study highlights the importance of developing more realistic models of behavioral changes when a disease outbreak is unfolding."
"65","Zhan, C.; Tse, C. K.; Fu, Y.; Lai, Z.; Zhang, H.","Modeling and prediction of the 2019 coronavirus disease spreading in China incorporating human migration data",2020,"","PLoS One",15,"10","e0241171","10.1371/journal.pone.0241171","This study integrates the daily intercity migration data with the classic Susceptible-Exposed-Infected-Removed (SEIR) model to construct a new model suitable for describing the dynamics of epidemic spreading of Coronavirus Disease 2019 (COVID-19) in China. Daily intercity migration data for 367 cities in China were collected from Baidu Migration, a mobile-app based human migration tracking data system. Early outbreak data of infected, recovered and death cases from official source (from January 24 to February 16, 2020) were used for model fitting. The set of model parameters obtained from best data fitting using a constrained nonlinear optimisation procedure was used for estimation of the dynamics of epidemic spreading in the following months. The work was completed on February 19, 2020. Our results showed that the number of infections in most cities in China would peak between mid February to early March 2020, with about 0.8%, less than 0.1% and less than 0.01% of the population eventually infected in Wuhan, Hubei Province and the rest of China, respectively. Moreover, for most cities outside and within Hubei Province (except Wuhan), the total number of infected individuals is expected to be less than 300 and 4000, respectively."
"66","Anzai, A.; Nishiura, H.","""Go To Travel"" Campaign and Travel-Associated Coronavirus Disease 2019 Cases: A Descriptive Analysis, July-August 2020",2021,"21-Jan","J Clin Med",10,"3","","10.3390/jcm10030398","The Japanese government initiated the Go To Travel campaign on 22 July 2020, offering deep discounts on hotel charges and issuing coupons to be used for any consumption at travel destinations in Japan. In the present study, we aimed to describe the possible epidemiological impact of the tourism campaign on increasing travel-associated cases of coronavirus disease 2019 (COVID-19) in the country. We compared the incidence rates of travel-associated and tourism-related cases prior to and during the campaign. The incidence of travel-associated COVID-19 cases during the tourism campaign was approximately three times greater than the control period 22 June to 21 July 2020 and approximately 1.5 times greater than the control period of 15 to 19 July. The incidence owing to tourism was approximately 8 times and 2-3 times greater than the control periods of 22 June to 21 July and 15 to 19 July, respectively. Although the second epidemic wave in Japan had begun to decline by mid-August, enhanced domestic tourism may have contributed to increasing travel-associated COVID-19 cases during 22 to 26 July, the early stage of the Go To Travel campaign."
"67","Bogoch,, II; Watts, A.; Thomas-Bachli, A.; Huber, C.; Kraemer, M. U. G.; Khan, K.","Pneumonia of unknown aetiology in Wuhan, China: potential for international spread via commercial air travel",2020,"13-Mar","J Travel Med",27,"2","","10.1093/jtm/taaa008","There is currently an outbreak of pneumonia of unknown aetiology in Wuhan, China. Although there are still several unanswered questions about this infection, we evaluate the potential for international dissemination of this disease via commercial air travel should the outbreak continue."
"68","Liu, K.; Ai, S.; Song, S.; Zhu, G.; Tian, F.; Li, H.; Gao, Y.; Wu, Y.; Zhang, S.; Shao, Z.; Liu, Q.; Lin, H.","Population Movement, City Closure in Wuhan, and Geographical Expansion of the COVID-19 Infection in China in January 2020",2020,"19-Nov","Clin Infect Dis",71,"16","2045-2051","10.1093/cid/ciaa422","BACKGROUND: The unprecedented outbreak of corona virus disease 2019 (COVID-19) infection in Wuhan City has caused global concern; the outflow of the population from Wuhan was believed to be a main reason for the rapid and large-scale spread of the disease, so the government implemented a city-closure measure to prevent its transmission considering the large amount of travel before the Chinese New Year. METHODS: Based on the daily reported new cases and the population-movement data between 1 and 31 January, we examined the effects of population outflow from Wuhan on the geographical expansion of the infection in other provinces and cities of China, as well as the impacts of the city closure in Wuhan using different closing-date scenarios. RESULTS: We observed a significantly positive association between population movement and the number of the COVID-19 cases. The spatial distribution of cases per unit of outflow population indicated that the infection in some areas with a large outflow of population might have been underestimated, such as Henan and Hunan provinces. Further analysis revealed that if the city-closure policy had been implemented 2 days earlier, 1420 (95% confidence interval, 1059-1833) cases could have been prevented, and if 2 days later, 1462 (1090-1886) more cases would have been possible. CONCLUSIONS: Our findings suggest that population movement might be one important trigger for the transmission of COVID-19 infection in China, and the policy of city closure is effective in controlling the epidemic."
"69","Gargoum, S. A.; Gargoum, A. S.","Limiting mobility during COVID-19, when and to what level? An international comparative study using change point analysis",2021,"Mar","J Transp Health",20,"","101019","10.1016/j.jth.2021.101019","The year 2020 saw a rapid global spread of the highly contagious novel coronavirus COVID-19. To halt the spread of the disease, decision makers and governments across the world have been forced to limit mobility and human interaction, which led to a complete lockdown and the closure of nonessential businesses and public places in many cities and countries. Although effective in curbing the spread of the disease, such measures have had major social and economic impacts, particularly at locations where a complete lockdown was required. In such unprecedented circumstances, decision makers were faced with the dilemma of deciding on how and when to limit mobility to curb the spread of the disease, while being considerate of the significant economic impacts of enforcing such a lockdown. Limited research in this area meant that decision makers were forced to experiment different courses of action without fully understanding the consequences of those actions. To address this critical gap and to provide decision makers with more insights on how to manage mobility during a global pandemic, this paper conducts statistical change point analysis of mobility data from 10 different countries with the aims of establishing links between mobility trends, COVID-19 infections, and COVID-19 mortality rates across different countries where different policies were adopted. Among other findings, the analysis revealed that slow responders experienced significantly higher mortality rates per 100,000 people and were forced to implement stricter lockdown strategies when compared to early responders. The analysis also shows that operating at 40% level of mobility is achievable if appropriate action is taken early enough. The findings of this study are extremely valuable in helping nations better manage a, highly anticipated, second wave of COVID-19 or any other highly contagious global pandemic."
"70","Sulyok, M.; Walker, M.","Community movement and COVID-19: a global study using Google's Community Mobility Reports",2020,"13-Nov","Epidemiol Infect",148,"","e284","10.1017/s0950268820002757","Google's 'Community Mobility Reports' (CMR) detail changes in activity and mobility occurring in response to COVID-19. They thus offer the unique opportunity to examine the relationship between mobility and disease incidence. The objective was to examine whether an association between COVID-19-confirmed case numbers and levels of mobility was apparent, and if so then to examine whether such data enhance disease modelling and prediction. CMR data for countries worldwide were cross-correlated with corresponding COVID-19-confirmed case numbers. Models were fitted to explain case numbers of each country's epidemic. Models using numerical date, contemporaneous and distributed lag CMR data were contrasted using Bayesian Information Criteria. Noticeable were negative correlations between CMR data and case incidence for prominent industrialised countries of Western Europe and the North Americas. Continent-wide examination found a negative correlation for all continents with the exception of South America. When modelling, CMR-expanded models proved superior to the model without CMR. The predictions made with the distributed lag model significantly outperformed all other models. The observed relationship between CMR data and case incidence, and its ability to enhance model quality and prediction suggests data related to community mobility could prove of use in future COVID-19 modelling."
"71","Fauver, J. R.; Petrone, M. E.; Hodcroft, E. B.; Shioda, K.; Ehrlich, H. Y.; Watts, A. G.; Vogels, C. B. F.; Brito, A. F.; Alpert, T.; Muyombwe, A.; Razeq, J.; Downing, R.; Cheemarla, N. R.; Wyllie, A. L.; Kalinich, C. C.; Ott, I. M.; Quick, J.; Loman, N. J.; Neugebauer, K. M.; Greninger, A. L.; Jerome, K. R.; Roychoudhury, P.; Xie, H.; Shrestha, L.; Huang, M. L.; Pitzer, V. E.; Iwasaki, A.; Omer, S. B.; Khan, K.; Bogoch,, II; Martinello, R. A.; Foxman, E. F.; Landry, M. L.; Neher, R. A.; Ko, A. I.; Grubaugh, N. D.","Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States",2020,"28-May","Cell",181,"5","990-996.e5","10.1016/j.cell.2020.04.021","The novel coronavirus SARS-CoV-2 was first detected in the Pacific Northwest region of the United States in January 2020, with subsequent COVID-19 outbreaks detected in all 50 states by early March. To uncover the sources of SARS-CoV-2 introductions and patterns of spread within the United States, we sequenced nine viral genomes from early reported COVID-19 patients in Connecticut. Our phylogenetic analysis places the majority of these genomes with viruses sequenced from Washington state. By coupling our genomic data with domestic and international travel patterns, we show that early SARS-CoV-2 transmission in Connecticut was likely driven by domestic introductions. Moreover, the risk of domestic importation to Connecticut exceeded that of international importation by mid-March regardless of our estimated effects of federal travel restrictions. This study provides evidence of widespread sustained transmission of SARS-CoV-2 within the United States and highlights the critical need for local surveillance."
"72","Zhou, Y. H.; Ma, K.; Xiao, P.; Ye, R. Z.; Zhao, L.; Cui, X. M.; Cao, W. C.","An Optimal Nucleic Acid Testing Strategy for COVID-19 during the Spring Festival Travel Rush in Mainland China: A Modelling Study",2021,"12-Feb","Int J Environ Res Public Health",18,"4","","10.3390/ijerph18041788","Western countries are experiencing surges in COVID-19 cases and deaths due to increasing public transportation during holiday seasons. This study aimed to explore whether mainland China will face an epidemic rebound during the Spring Festival holiday, when millions of Chinese people travel across the country, and investigate which nucleic acid testing (NAT) strategy is optimal to contain the epidemic. A microsimulation model was used to simulate SARS-CoV-2 transmission among railway travelers and evaluated the effects of various NAT strategies. An extended susceptible-exposed-infectious-recovered (SEIR) model was built to forecast local transmission during the Spring Festival period under different scenarios of testing strategies. The total number of infections, testing burden, and medical expenditure were calculated to devise an optimal strategy during the Spring Festival travel rush. Assuming the daily incidence of 20 per 10 million persons, our model simulated that there would be 97 active infections on the day of travel among 10 million railway passengers without NAT and symptom screening. Pre-travel testing could reduce the number of active infections. Compared with no NAT, testing passengers from risk tier 2-4 regions 3 days before travelling could significantly reduce the risk of transmission, and it is more economical and efficient than testing for all passengers."
"73","Zhuang, Z.; Zhao, S.; Lin, Q.; Cao, P.; Lou, Y.; Yang, L.; He, D.","Preliminary estimation of the novel coronavirus disease (COVID-19) cases in Iran: A modelling analysis based on overseas cases and air travel data",2020,"May","Int J Infect Dis",94,"","29-31","10.1016/j.ijid.2020.03.019","As of March 1, 2020, Iran had reported 987 novel coronavirus disease (COVID-19) cases, including 54 associated deaths. At least six neighboring countries (Bahrain, Iraq, Kuwait, Oman, Afghanistan, and Pakistan) had reported imported COVID-19 cases from Iran. In this study, air travel data and the numbers of cases from Iran imported into other Middle Eastern countries were used to estimate the number of COVID-19 cases in Iran. It was estimated that the total number of cases in Iran was 16 533 (95% confidence interval: 5925-35 538) by February 25, 2020, before the UAE and other Gulf Cooperation Council countries suspended inbound and outbound flights from Iran."
